filename,num_players,num_messages_sent,turns
real_data/number_of_messages_experiment_1512653644.txt,2,72,39
real_data/number_of_messages_experiment_1512653644.txt,2,76,39
real_data/number_of_messages_experiment_1512653644.txt,3,152,51
real_data/number_of_messages_experiment_1512653644.txt,3,143,51
real_data/number_of_messages_experiment_1512653644.txt,3,175,51
real_data/number_of_messages_experiment_1512653644.txt,4,189,42
real_data/number_of_messages_experiment_1512653644.txt,4,177,42
real_data/number_of_messages_experiment_1512653644.txt,4,188,42
real_data/number_of_messages_experiment_1512653644.txt,4,201,42
real_data/number_of_messages_experiment_1512653644.txt,5,213,33
real_data/number_of_messages_experiment_1512653644.txt,5,261,33
real_data/number_of_messages_experiment_1512653644.txt,5,197,33
real_data/number_of_messages_experiment_1512653644.txt,5,212,33
real_data/number_of_messages_experiment_1512653644.txt,5,149,33
real_data/number_of_messages_experiment_1512653644.txt,6,210,43
real_data/number_of_messages_experiment_1512653644.txt,6,305,43
real_data/number_of_messages_experiment_1512653644.txt,6,339,43
real_data/number_of_messages_experiment_1512653644.txt,6,320,43
real_data/number_of_messages_experiment_1512653644.txt,6,315,43
real_data/number_of_messages_experiment_1512653644.txt,6,295,43
real_data/number_of_messages_experiment_1512653644.txt,7,442,69
real_data/number_of_messages_experiment_1512653644.txt,7,443,69
real_data/number_of_messages_experiment_1512653644.txt,7,419,69
real_data/number_of_messages_experiment_1512653644.txt,7,413,69
real_data/number_of_messages_experiment_1512653644.txt,7,407,69
real_data/number_of_messages_experiment_1512653644.txt,7,383,69
real_data/number_of_messages_experiment_1512653644.txt,7,425,69
real_data/number_of_messages_experiment_1512653644.txt,8,607,88
real_data/number_of_messages_experiment_1512653644.txt,8,614,88
real_data/number_of_messages_experiment_1512653644.txt,8,544,88
real_data/number_of_messages_experiment_1512653644.txt,8,648,88
real_data/number_of_messages_experiment_1512653644.txt,8,579,88
real_data/number_of_messages_experiment_1512653644.txt,8,572,88
real_data/number_of_messages_experiment_1512653644.txt,8,614,88
real_data/number_of_messages_experiment_1512653644.txt,8,544,88
real_data/number_of_messages_experiment_1512653644.txt,9,355,53
real_data/number_of_messages_experiment_1512653644.txt,9,451,53
real_data/number_of_messages_experiment_1512653644.txt,9,323,53
real_data/number_of_messages_experiment_1512653644.txt,9,379,53
real_data/number_of_messages_experiment_1512653644.txt,9,451,53
real_data/number_of_messages_experiment_1512653644.txt,9,498,53
real_data/number_of_messages_experiment_1512653644.txt,9,403,53
real_data/number_of_messages_experiment_1512653644.txt,9,451,53
real_data/number_of_messages_experiment_1512653644.txt,9,347,53
real_data/number_of_messages_experiment_1512653644.txt,10,805,83
real_data/number_of_messages_experiment_1512653644.txt,10,590,83
real_data/number_of_messages_experiment_1512653644.txt,10,698,83
real_data/number_of_messages_experiment_1512653644.txt,10,698,83
real_data/number_of_messages_experiment_1512653644.txt,10,752,83
real_data/number_of_messages_experiment_1512653644.txt,10,752,83
real_data/number_of_messages_experiment_1512653644.txt,10,761,83
real_data/number_of_messages_experiment_1512653644.txt,10,752,83
real_data/number_of_messages_experiment_1512653644.txt,10,662,83
real_data/number_of_messages_experiment_1512653644.txt,10,644,83
real_data/number_of_messages_experiment_1512653644.txt,11,615,70
real_data/number_of_messages_experiment_1512653644.txt,11,555,70
real_data/number_of_messages_experiment_1512653644.txt,11,615,70
real_data/number_of_messages_experiment_1512653644.txt,11,635,70
real_data/number_of_messages_experiment_1512653644.txt,11,725,70
real_data/number_of_messages_experiment_1512653644.txt,11,665,70
real_data/number_of_messages_experiment_1512653644.txt,11,625,70
real_data/number_of_messages_experiment_1512653644.txt,11,645,70
real_data/number_of_messages_experiment_1512653644.txt,11,764,70
real_data/number_of_messages_experiment_1512653644.txt,11,715,70
real_data/number_of_messages_experiment_1512653644.txt,11,585,70
real_data/number_of_messages_experiment_1512653644.txt,12,333,28
real_data/number_of_messages_experiment_1512653644.txt,12,432,28
real_data/number_of_messages_experiment_1512653644.txt,12,343,28
real_data/number_of_messages_experiment_1512653644.txt,12,212,28
real_data/number_of_messages_experiment_1512653644.txt,12,333,28
real_data/number_of_messages_experiment_1512653644.txt,12,256,28
real_data/number_of_messages_experiment_1512653644.txt,12,234,28
