2 players, 235212 bytes used
3 players, 355143 bytes used
4 players, 1887980 bytes used
5 players, 3162101 bytes used
6 players, 3979497 bytes used
7 players, 3335184 bytes used
8 players, 6951211 bytes used
9 players, 11239603 bytes used
10 players, 14778563 bytes used
11 players, 16622691 bytes used
12 players, 27929572 bytes used
13 players, 42175221 bytes used
14 players, 49226164 bytes used
15 players, 37543660 bytes used
16 players, 61004363 bytes used
17 players, 79208121 bytes used
18 players, 85513632 bytes used
19 players, 103931370 bytes used
20 players, 147096862 bytes used
